"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"16937-14696","QB","Scott","","Tolzien","-0.07000000029802322","2","5000","TEN@IND","IND","TEN","","","",""
"16937-27801","QB","Nate","","Sudfeld","0","0","5000","GB@WAS","WAS","GB","","","",""
"16937-33702","QB","Ryan","","Griffin","0","0","5000","TB@KC","TB","KC","","","",""
"16937-8023","QB","Josh","","Johnson","0","0","5000","CHI@NYG","NYG","CHI","NA","Coach's decision","",""
"16937-26877","QB","Jake","","Heaps","0","0","5000","PHI@SEA","SEA","PHI","","","",""
"16937-31170","QB","Brandon","","Allen","0","0","5000","JAC@DET","JAC","DET","","","",""
"16937-8051","QB","Luke","","McCown","6.199999809265137","2","5000","NO@CAR","NO","CAR","","","",""
"16937-70127","QB","Griffin","","Neal","0","0","5000","NO@CAR","NO","CAR","","","",""
"16937-23045","K","Justin","","Tucker","10.666666666666666","9","5000","BAL@DAL","BAL","DAL","","","",""
"16937-23075","QB","Alex","","Tanney","7.960000038146973","1","5000","TEN@IND","TEN","IND","","","",""
"16937-39859","TE","Jack","","Doyle","8.877777947319878","9","5000","TEN@IND","IND","TEN","","","",""
"16937-30788","QB","Tyler","","Bray","0","0","5000","TB@KC","KC","TB","","","",""
"16937-30775","WR","Justin","","Hunter","5.6200000762939455","5","5000","BUF@CIN","BUF","CIN","","","",""
"16937-27982","QB","Jake","","Rudock","0","0","5000","JAC@DET","DET","JAC","","","",""
"16937-29915","QB","Brett","","Hundley","0.3199999928474426","1","5000","GB@WAS","GB","WAS","","","",""
"16937-6687","QB","Mark","","Sanchez","0.11999999731779099","1","5000","BAL@DAL","DAL","BAL","","","",""
"16937-12536","D","Kansas City","","Chiefs","10.777777777777779","9","5000","TB@KC","KC","TB","","","",""
"16937-6668","K","Adam","","Vinatieri","10.777777777777779","9","5000","TEN@IND","IND","TEN","","","",""
"16937-24949","QB","EJ","","Manuel","1.6999999682108562","3","5000","BUF@CIN","BUF","CIN","","","",""
"16937-11615","QB","Joe","","Webb","0.26666667064030963","3","5000","NO@CAR","CAR","NO","","","",""
"16937-27050","WR","Tyler","","Lockett","4.511110941569011","9","5000","PHI@SEA","SEA","PHI","","","",""
"16937-25969","QB","Tom","","Savage","0","0","5000","HOU@OAK","HOU","OAK","","","",""
"16937-34459","QB","B.J.","","Daniels","0.9200000166893005","4","5000","CHI@NYG","CHI","NYG","","","",""
"16937-27229","RB","Ameer","","Abdullah","12.149999618530273","2","4900","JAC@DET","DET","JAC","IR","Foot","",""
"16937-21952","WR","Michael","","Floyd","8.225000381469727","8","4900","ARI@MIN","ARI","MIN","Q","Neck","",""
"16937-11999","WR","Victor","","Cruz","6.775000095367432","8","4900","CHI@NYG","NYG","CHI","NA","Ankle","",""
"16937-14237","TE","Kyle","","Rudolph","9.744444105360243","9","4900","ARI@MIN","MIN","ARI","","","",""
"16937-14240","TE","Lance","","Kendricks","6.177777608235677","9","4900","MIA@LA","LA","MIA","","","",""
"16937-14288","WR","Torrey","","Smith","4.977777693006727","9","4900","NE@SF","SF","NE","","","",""
"16937-28486","WR","Corey","","Brown","3.7111112806532116","9","4900","NO@CAR","CAR","NO","","","",""
"16937-39280","RB","Derrick","","Henry","5.155555725097656","9","4900","TEN@IND","TEN","IND","","","",""
"16937-14905","WR","Kamar","","Aiken","2.788888931274414","9","4900","BAL@DAL","BAL","DAL","","","",""
"16937-12547","D","Pittsburgh","","Steelers","4.111111111111111","9","4900","PIT@CLE","PIT","CLE","","","",""
"16937-33714","K","Cairo","","Santos","10.333333333333334","9","4900","TB@KC","KC","TB","","","",""
"16937-7900","K","Stephen","","Gostkowski","7.666666666666667","9","4900","NE@SF","NE","SF","","","",""
"16937-10744","K","Graham","","Gano","8.444444444444445","9","4900","NO@CAR","CAR","NO","","","",""
"16937-12541","D","New England","","Patriots","6.222222222222222","9","4900","NE@SF","NE","SF","","","",""
"16937-6704","WR","Percy","","Harvin","8.080000305175782","5","4900","BUF@CIN","BUF","CIN","","","",""
"16937-33472","RB","C.J.","","Prosise","7.480000305175781","5","4900","PHI@SEA","SEA","PHI","","","",""
"16937-14339","RB","Dion","","Lewis","14.599999564034599","7","4900","NE@SF","NE","SF","","","",""
"16937-28202","RB","Jeremy","","Langford","6.6","5","4800","CHI@NYG","CHI","NYG","","","",""
"16937-29593","WR","Marqise","","Lee","7.5444446139865455","9","4800","JAC@DET","JAC","DET","","","",""
"16937-32613","RB","DeAndre","","Washington","4.655555725097656","9","4800","HOU@OAK","OAK","HOU","","","",""
"16937-29500","WR","Markus","","Wheaton","5.033333460489909","3","4800","PIT@CLE","PIT","CLE","Q","Shoulder","",""
"16937-30403","WR","Chris","","Conley","5.122222052680121","9","4800","TB@KC","KC","TB","","","",""
"16937-43413","RB","Kenneth","","Dixon","3.1799999237060548","5","4800","BAL@DAL","BAL","DAL","","","",""
"16937-48344","WR","Albert","","Wilson","4.442857197352818","7","4800","TB@KC","KC","TB","","","",""
"16937-22433","TE","Dominique","","Jones","3.5999999046325684","4","4800","MIA@LA","MIA","LA","","","",""
"16937-24912","K","Dustin","","Hopkins","10.555555555555555","9","4800","GB@WAS","WAS","GB","","","",""
"16937-11532","TE","Dennis","","Pitta","6.722222222222222","9","4800","BAL@DAL","BAL","DAL","","","",""
"16937-12539","D","Miami","","Dolphins","8","9","4800","MIA@LA","MIA","LA","","","",""
